Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Use production,Supplier,Purchase cost,Available for sale [C Autoparts],Price [C Autoparts],In stock [C Autoparts],Low stock [C Autoparts],Optimal stock [C Autoparts],Available for sale [OLD A/P],Price [OLD A/P],In stock [OLD A/P],Low stock [OLD A/P],Optimal stock [OLD A/P],Available for sale [Stock - Accessories],Price [Stock - Accessories],In stock [Stock - Accessories],Low stock [Stock - Accessories],Optimal stock [Stock - Accessories],Available for sale [WAREHOUSE],Price [WAREHOUSE],In stock [WAREHOUSE],Low stock [WAREHOUSE],Optimal stock [WAREHOUSE],Available for sale [TIRES],Price [TIRES],In stock [TIRES],Low stock [TIRES],Optimal stock [TIRES],Available for sale [JUNIOR],Price [JUNIOR],In stock [JUNIOR],Low stock [JUNIOR],Optimal stock [JUNIOR]
[100-pcs]-mm-cap-screw,25490,[100 PCS] MM CAP SCREW,MISC,,N,SIZE,6MM  X 20MM,,,,,variable,123.2,7928160462625,,,Y,,,0.0,Y,variable,9.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[100-pcs]-mm-cap-screw,28138,[100 PCS] MM CAP SCREW,MISC,,N,SIZE,6MM X 25MM,,,,,variable,139.2,7330745726457,,,,,,0.0,Y,variable,4.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[100-pcs]-mm-cap-screw,28139,[100 PCS] MM CAP SCREW,MISC,,N,SIZE,6MM X 30MM,,,,,variable,155.2,4658820456468,,,,,,0.0,Y,variable,4.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[100-pcs]-mm-cap-screw,28140,[100 PCS] MM CAP SCREW,MISC,,N,SIZE,6MM X 40MM,,,,,variable,190.4,5897777271918,,,,,,0.0,Y,variable,2.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[100-pcs]-mm-cap-screw,28141,[100 PCS] MM CAP SCREW,MISC,,N,SIZE,6MM X 50MM,,,,,variable,260.8,3587602298310,,,,,,0.0,Y,variable,2.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[100-pcs]-mm-cap-screw,28142,[100 PCS] MM CAP SCREW,MISC,,N,SIZE,8MM X 15MM,,,,,variable,193.6,3097214697734,,,,,,0.0,Y,variable,5.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[100-pcs]-mm-cap-screw,28143,[100 PCS] MM CAP SCREW,MISC,,N,SIZE,8MM X 40MM,,,,,variable,348.8,3094498773420,,,,,,0.0,Y,variable,1.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[100-pcs]-mm-cap-screw,28144,[100 PCS] MM CAP SCREW,MISC,,N,SIZE,8MM X 45MM,,,,,variable,449.6,9761495454839,,,,,,0.0,Y,variable,1.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[100-pcs]-mm-cap-screw,28145,[100 PCS] MM CAP SCREW,MISC,,N,SIZE,8MM X 50MM,,,,,variable,491.2,4407452604439,,,,,,0.0,Y,variable,1.0,,,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[2-pcs-only]-federal-mogul-12202p-isu-6bb1-5-12111-013-0,96969332,[2 PCS ONLY] FEDERAL MOGUL 12202P ISU 6BB1 5-12111-013-0,PISTON CUP #2,,N,,,,,,,variable,0.0,9352304068048,,,Y,,,,Y,variable,1.0,0.0,1.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[2kg]-bi-washer,47957779,[2KG] BI WASHER,MISC,,N,SIZE,#3/4,,,,,variable,280.0,8709393737129,,,Y,,,0.0,Y,variable,4.0,1.0,2.0,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[2kg]-bi-washer,87268732,[2KG] BI WASHER,MISC,,N,SIZE,#5/8,,,,,variable,270.0,9944468925448,,,,,,0.0,Y,variable,4.0,1.0,2.0,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[2kg]-tinwasher,65828852,[2KG] TIN WASHER,MISC,,N,SIZE,#1/4,,,,,variable,1817.39,2841019151298,,,Y,,,0.0,Y,variable,2.0,2.0,,Y,variable,1.0,,,N,variable,0.0,,,N,variable,20.0,,,N,variable,0.0,,,N,variable,0.0,,
[2kg]-tinwasher,95975138,[2KG] TIN WASHER,MISC,,N,SIZE,#3/8,,,,,variable,280.0,8269191772669,,,,,,0.0,Y,variable,2.0,2.0,,Y,variable,1.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[4pc-set]-isuzu-injector-sleeve-8-97943-955-0,44955883,[4PC SET] ISUZU INJECTOR SLEEVE 8-97943-955-0,ISUZU GENUINE PARTS #5,,N,,,,,,,variable,1923.75,7007431432787,,,Y,,,,Y,variable,0.0,0.0,1.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-mm-hex-nut,64910962,[500 PCS] MM HEX NUT,MISC,,N,SIZE,10MM X 1.25,,,,,variable,0.0,9968844968841,,,Y,,,0.0,Y,variable,1.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-mm-hex-nut,63629595,[500 PCS] MM HEX NUT,MISC,,N,SIZE,10MM X 1.5,,,,,variable,0.0,3596756816080,,,,,,0.0,Y,variable,1.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-mm-hex-nut,35577723,[500 PCS] MM HEX NUT,MISC,,N,SIZE,4MM X 0.70,,,,,variable,208.0,6110137868931,,,,,,0.0,Y,variable,3.0,1.0,2.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-mm-hex-nut,28731291,[500 PCS] MM HEX NUT,MISC,,N,SIZE,5MM X 0.80,,,,,variable,216.0,9318143556492,,,,,,0.0,Y,variable,1.0,1.0,2.0,Y,variable,1.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-mm-hex-nut,86545321,[500 PCS] MM HEX NUT,MISC,,N,SIZE,6MM X 1.00,,,,,variable,264.0,8305162153208,,,,,,0.0,Y,variable,8.0,1.0,2.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-mm-hex-nut,83814823,[500 PCS] MM HEX NUT,MISC,,N,SIZE,8MM X 1.25,,,,,variable,440.0,5538565407758,,,,,,0.0,Y,variable,3.0,1.0,2.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-lock-washer,51615784,[500 PCS] MM LOCK WASHER,MISC,,N,SIZE,10MM,,,,,variable,291.6,7258400157950,,,Y,,,0.0,Y,variable,3.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-lock-washer,75323122,[500 PCS] MM LOCK WASHER,MISC,,N,SIZE,12MM,,,,,variable,0.0,6709384993111,,,,,,0.0,Y,variable,1.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
[500-pcs]-lock-washer,32755436,[500 PCS] MM LOCK WASHER,MISC,,N,SIZE,6MM,,,,,variable,64.8,4081865409357,,,,,,0.0,Y,variable,4.0,2.0,5.0,Y,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,,N,variable,0.0,,
